sub_region_1,Apr 2020,Apr 2021,Aug 2020,Aug 2021,Dec 2020,Feb 2020,Feb 2021,Jan 2021,Jul 2020,Jul 2021,Jun 2020,Jun 2021,Mar 2020,Mar 2021,May 2020,May 2021,Nov 2020,Nov 2021,Oct 2020,Oct 2021,Sep 2020,Sep 2021
Kansas,-33.99292869770183,-13.318070818070819,-22.665983606557376,-17.79310344827586,-24.444444444444443,1.1098039215686275,-17.456233421750664,-18.251833740831295,-24.68274259151656,-21.881695114773397,-20.382708585247883,-19.78025285972306,-13.499698976520168,-15.041152263374485,-26.17305389221557,-16.272671941570298,-20.8818407960199,-16.083106267029972,-14.783363255535608,-10.79098110907983,-17.68860759493671,-15.271507016473459
Kentucky,-38.212751449028296,-19.362460678084584,-23.875,-20.280659567159052,-27.666102841677944,0.9157973174366617,-27.703242835595777,-23.035739070090216,-26.772151898734176,-23.37699897924464,-23.915712799167533,-21.384642233856894,-14.129861111111111,-18.28382949932341,-30.579972658920028,-19.854703832752612,-24.489861259338312,-18.298073141958316,-19.636986301369863,-16.12535014005602,-21.080471050049066,-19.543896467296257
Louisiana,-35.43480725623583,-19.046082949308754,-26.70694087403599,-24.63860830527497,-24.63737486095662,-3.374401913875598,-25.30125786163522,-21.486790331646993,-26.72797356828194,-24.314794215795327,-21.8491107286288,-21.49942594718714,-13.62145289443814,-17.19453734671126,-25.778527262507026,-18.830604178430267,-23.20896391152503,-22.204356181934656,-21.068753493571826,-17.977953646127755,-22.756207674943568,-24.903058280438547
Maine,-39.40909090909091,-20.383697813121273,-20.9375,-16.469111969111967,-23.971209213051825,-4.812,-22.254273504273506,-21.820809248554912,-23.959615384615386,-19.494208494208493,-21.840954274353876,-17.332007952286283,-14.796153846153846,-18.616122840690977,-29.29865125240848,-18.48742746615087,-19.790836653386453,-19.20971302428256,-14.339768339768339,-13.232108317214701,-17.555023923444978,-15.649402390438247
Maryland,-45.6,-24.90909090909091,-29.445839874411302,-23.57032258064516,-32.1011673151751,0.04289544235924933,-29.715307582260372,-29.741267787839586,-29.84585492227979,-25.29806451612903,-28.630026809651476,-23.601333333333333,-18.031088082901555,-24.94954721862872,-37.02842377260982,-23.556420233463037,-28.41476510067114,-23.213333333333335,-24.327720207253886,-18.433548387096774,-28.53012048192771,-22.30614973262032
Massachusetts,-51.965986394557824,-29.536529680365298,-29.491484184914842,-23.13199105145414,-34.530973451327434,-3.963302752293578,-31.850490196078432,-32.373333333333335,-31.06888888888889,-25.812080536912752,-31.261467889908257,-23.90552995391705,-22.061946902654867,-28.635761589403973,-41.01111111111111,-26.0,-28.711009174311926,-24.017766497461928,-24.523489932885905,-19.52134831460674,-27.75242718446602,-21.658986175115206
Michigan,-48.48488718603661,-19.15922746781116,-20.46050321825629,-12.804283914321713,-27.550808793031937,0.4818423383525244,-17.70604522381172,-20.456867671691793,-22.532640332640334,-16.39807450816241,-21.59698924731183,-14.498280309544281,-18.465242881072026,-16.05226047283285,-35.241854636591476,-15.761444771104578,-22.728959861890374,-14.464371114299379,-13.311922753988245,-7.306560134566863,-16.90788777130757,-12.326133909287257
Minnesota,-37.346053772766695,-16.730905861456485,-23.768864717878994,-18.81404421326398,-29.1972731146144,-0.07529843893480258,-18.660620525059667,-21.94158981115503,-26.062634062634064,-21.748600947051226,-23.92345349354695,-19.919205298013246,-14.4163052905464,-16.722958529286018,-31.298740772904907,-16.577464788732396,-25.814234556848703,-18.377330716388617,-18.611135276207047,-13.149606299212598,-21.222937390286717,-17.48070953436807
Mississippi,-34.24539877300614,-17.42987951807229,-23.95860927152318,-21.662763466042154,-25.00974930362117,-0.5350515463917526,-24.809753483386924,-20.560894386298763,-27.272893772893774,-24.18677224033535,-22.000961076405574,-21.0066985645933,-14.626310772163965,-17.600930232558138,-25.900094696969695,-19.456583969465647,-21.757843137254902,-19.012868632707775,-17.452067669172934,-15.002379819133745,-19.194955691888207,-17.993288590604028
Missouri,-32.17203924316748,-11.587544483985765,-19.851767388825543,-16.598686484618042,-20.935219911353563,3.757037037037037,-19.990465293668954,-16.946372239747635,-21.867235494880546,-19.974482758620688,-18.107801418439717,-17.3886925795053,-9.638550017427676,-11.921313718782073,-22.889083275017494,-14.176449912126538,-19.61326164874552,-14.21056782334385,-13.602497398543184,-8.537108688005627,-16.46083613647285,-13.643135863781483
Montana,-36.1812725090036,-14.02030456852792,-22.123966942148762,-18.179706601466993,-21.725090036014407,-1.3692722371967656,-15.21584699453552,-16.5,-23.69678953626635,-20.78484107579462,-19.943538268506902,-19.34448574969021,-16.412128712871286,-13.545454545454545,-25.11830635118306,-14.87959442332066,-22.925641025641024,-16.85434173669468,-18.23181257706535,-12.569796954314722,-16.998254799301918,-16.038993710691823
Nebraska,-30.075457875457875,-12.311313591495823,-20.766442953020135,-14.826696165191741,-20.956934306569345,0.28078817733990147,-13.464905037159372,-16.757341576506956,-23.597122302158272,-19.824817518248175,-20.251312828207052,-17.605223880597016,-11.656884875846501,-11.815654718361376,-26.61186186186186,-15.901676829268293,-18.739811912225704,-14.083617747440274,-12.685714285714285,-9.309578544061303,-13.573626373626373,-12.0
Nevada,-40.984,-19.574647887323945,-25.346863468634687,-20.279452054794522,-26.759894459102902,-1.6341463414634145,-21.084848484848486,-23.397260273972602,-26.191374663072775,-22.767567567567568,-24.36111111111111,-20.476190476190474,-18.044568245125348,-19.472826086956523,-33.253369272237194,-17.901408450704224,-25.174157303370787,-20.770967741935483,-21.02185792349727,-16.65616045845272,-23.696969696969695,-19.58550724637681
New Hampshire,-42.38484848484848,-20.975757575757576,-23.82006920415225,-18.718475073313783,-26.78592375366569,-3.412121212121212,-21.753246753246753,-22.868035190615835,-26.4633431085044,-22.13782991202346,-25.184848484848484,-18.26060606060606,-16.331378299120235,-18.571847507331377,-34.07624633431085,-19.12316715542522,-21.593939393939394,-19.932659932659934,-15.841642228739003,-14.193548387096774,-20.336666666666666,-17.675757575757576
New Jersey,-53.53333333333333,-29.783333333333335,-30.161631419939578,-25.7683284457478,-35.32697947214076,-0.3333333333333333,-33.78733766233766,-31.890029325513197,-32.888563049853374,-27.444281524926687,-33.38787878787879,-25.01969696969697,-22.582111436950147,-28.734604105571847,-42.79032258064516,-26.687683284457478,-30.53181818181818,-25.363636363636363,-26.01466275659824,-19.70234604105572,-29.65076923076923,-25.174242424242426
New Mexico,-39.255319148936174,-24.420654911838792,-27.772260273972602,-22.10171568627451,-33.83495145631068,0.5190839694656488,-28.843243243243244,-30.325581395348838,-28.984165651644336,-25.295843520782395,-25.55793450881612,-25.518238993710693,-16.387530562347187,-26.69549330085262,-31.721411192214113,-24.04151404151404,-33.171069182389935,-23.766666666666666,-26.71707317073171,-18.04501216545012,-26.864485981308412,-20.378140703517587
New York,-45.79462365591398,-24.476344086021506,-27.2431592039801,-24.93652445369407,-29.804370447450573,-3.2333333333333334,-26.861751152073733,-27.4417273673257,-28.784599375650366,-27.135275754422477,-27.246774193548386,-22.06236559139785,-18.263267429760667,-23.419354838709676,-36.42351716961498,-23.53850156087409,-25.00752688172043,-22.94324970131422,-20.911030176899065,-18.056711758584807,-25.148986889153754,-23.420967741935485
North Carolina,-35.863699102829536,-19.512820512820515,-23.602087114337568,-18.623695725345,-25.4735432016075,-1.066480055983205,-19.89520624303233,-23.100370495116202,-25.460328088382994,-20.7182246133154,-21.71195840554593,-18.312413314840498,-12.439098250336473,-17.860254691689008,-27.75,-18.039473684210527,-21.641515994436716,-18.41094834232845,-18.426698049764628,-13.32173031429537,-21.804320731200665,-17.489251040221912
North Dakota,-32.763698630136986,-17.294545454545453,-21.752136752136753,-20.427304964539008,-24.64471403812825,-0.027237354085603113,-16.905697445972496,-18.578181818181818,-24.202443280977313,-24.649647887323944,-20.079566003616637,-22.05903398926655,-11.67504488330341,-16.293913043478263,-25.792184724689164,-18.080291970802918,-24.77148080438757,-19.696356275303643,-19.115658362989326,-14.341959334565619,-20.180722891566266,-17.69429097605893
Ohio,-40.10791366906475,-16.970018975332067,-22.084366062917063,-17.89738874586245,-25.77055800293686,0.031226199543031227,-19.31840390879479,-19.906111929307805,-24.858611825192803,-21.700367647058822,-21.462034927866362,-19.941913439635535,-15.805514705882352,-15.664708042600074,-29.46499631540162,-17.49355907250644,-21.298212248003043,-17.91311682834247,-15.675616035307097,-13.397568165070007,-19.66902342023862,-18.34510250569476
