state,1,2,3,4,5,6,7,8,9,10,11,12
Indiana,-8.142037037037037,-4.015057471264368,-30.804086021505373,-52.32,-42.93692307692308,-29.829777777777775,-25.311182795698926,-27.5294623655914,-28.159888888888887,-32.89741935483871,-45.76844444444444,-52.196236559139784
Iowa,-9.634444444444444,-4.474137931034482,-28.706774193548387,-49.006,-35.42774193548387,-12.606333333333334,-8.28516129032258,2.5722580645161295,-9.69833333333333,-19.356774193548386,-36.98633333333333,-44.8
Kansas,0.15411764705882222,8.77586206896552,-14.760645161290322,-33.72366666666667,-16.111290322580643,7.431333333333332,6.904516129032259,8.554193548387097,6.760000000000001,-4.86741935483871,-22.231333333333335,-28.59032258064516
Kentucky,-7.982222222222223,-3.8610344827586207,-29.683870967741935,-56.964666666666666,-47.8195,-30.270583333333335,-26.692258064516132,-22.85967741935484,-24.17458333333333,-27.009838709677418,-37.26675,-42.17774193548387
Louisiana,-12.71537037037037,2.1199999999999997,-36.6641935483871,-75.95333333333333,-68.26945054945054,-60.25866666666666,-58.15193548387097,-55.68655913978495,-52.50688888888889,-50.141075268817204,-55.43988888888889,-60.76516129032258
Maryland,-4.829295774647887,-3.8461206896551734,-33.19358870967742,-67.70525,-59.164139344262296,-43.67583333333334,-38.823669354838714,-41.68915322580645,-41.260625,-40.52326612903226,-45.783125000000005,-50.89447580645161
Massachusetts,1.761913580246914,3.2008045977011497,-39.970179211469535,-73.85951851851851,-64.79301818181817,-48.00281481481482,-38.30713261648746,-37.34297491039427,-30.824074074074073,-36.20537634408602,-47.997851851851856,-55.182903225806456
Michigan,-16.6,-17.568150470219436,-48.090557184750736,-75.39527272727273,-66.02453453453454,-50.261878787878786,-49.08014662756599,-48.79791788856305,-47.96730303030303,-54.61739002932551,-62.69136363636364,-67.77052785923753
Minnesota,-8.284722222222221,-7.04,-40.243790322580644,-70.49033333333334,-66.22721311475411,-53.54091666666667,-46.284193548387094,-49.81701612903226,-48.70425,-52.3283064516129,-60.55716666666667,-65.0791935483871
Mississippi,14.491111111111113,25.32586206896552,13.55258064516129,-13.054333333333334,16.69741935483871,39.01866666666667,39.94387096774194,30.335161290322585,30.314,21.07387096774194,3.176666666666667,-5.0532258064516125
Missouri,-7.077222222222222,0.016264367816091453,-24.598440860215057,-49.564,-41.61115384615385,-30.959555555555557,-28.83478494623656,-27.756129032258066,-26.678166666666666,-29.795752688172044,-36.13516666666666,-40.59586021505376
Nebraska,-11.655,-5.610517241379311,-26.365000000000002,-45.925,-34.86483333333333,-17.801166666666667,-18.15290322580645,-15.642096774193549,-15.375833333333333,-25.69709677419355,-37.995,-43.37580645161291
Nevada,-1.8156666666666665,-1.0506206896551724,-34.28858064516129,-64.5332,-54.23576158940398,-39.610866666666666,-37.26451612903226,-34.62735483870968,-31.121866666666666,-31.92825806451613,-40.68646666666667,-44.72483870967742
New Hampshire,11.360555555555557,22.029655172413793,-17.912258064516127,-42.00233333333333,-16.929354838709674,13.432333333333334,36.41709677419355,38.592580645161284,27.756999999999998,12.197096774193549,-23.382,-32.02
New Jersey,-2.189847715736041,-0.27852664576802494,-39.958973607038125,-71.8530606060606,-60.960058651026394,-42.96515151515152,-29.349208211143694,-29.244222873900295,-28.198969696969698,-32.37923753665689,-39.727909090909094,-42.51771260997068
New Mexico,-13.206851851851853,-10.763333333333334,-31.963333333333335,-63.39622222222222,-53.325824175824174,-37.79355555555556,-37.02451612903226,-36.682473118279574,-33.18611111111111,-40.10688172043011,-53.894444444444446,-55.299247311827955
