,year,month,state_name,population,date,consumption,scaled_consumption
1069,2020,10,South Dakota,886667,October 2020,186500.1,0.21033837957203777
1118,2020,11,South Dakota,886667,November 2020,230574.1,0.2600458796820001
1167,2020,12,South Dakota,886667,December 2020,253361.9,0.28574639633594123
1216,2021,1,South Dakota,886667,January 2021,300114.1,0.33847442162615726
1265,2021,2,South Dakota,886667,February 2021,281231.5,0.31717826421869766
1314,2021,3,South Dakota,886667,March 2021,298957.6,0.3371700988082335
1363,2021,4,South Dakota,886667,April 2021,292261.9,0.32961856029377434
1412,2021,5,South Dakota,886667,May 2021,294682.7,0.33234878483128394
1461,2021,6,South Dakota,886667,June 2021,314935.0,0.35518971609409167
1510,2021,7,South Dakota,886667,July 2021,308439.9,0.3478644180960834
1559,2021,8,South Dakota,886667,August 2021,331128.5,0.37345305509283644
1608,2021,9,South Dakota,886667,September 2021,261296.7,0.2946954155280393
7,2019,1,Delaware,989948,January 2019,72959.125,0.07369995696743667
56,2019,2,Delaware,989948,February 2019,78140.875,0.07893432281291543
105,2019,3,Delaware,989948,March 2019,110041.5,0.11115886895069237
154,2019,4,Delaware,989948,April 2019,85062.5,0.08592623046867108
203,2019,5,Delaware,989948,May 2019,97821.375,0.09881465996193739
252,2019,6,Delaware,989948,June 2019,111436.375,0.11256790760726826
301,2019,7,Delaware,989948,July 2019,237239.5,0.23964844618101153
350,2019,8,Delaware,989948,August 2019,187827.5,0.18973471333847838
399,2019,9,Delaware,989948,September 2019,110618.75,0.1117419803868486
448,2019,10,Delaware,989948,October 2019,91429.5,0.0923578814240748
497,2019,11,Delaware,989948,November 2019,78992.5,0.07979459527167083
546,2019,12,Delaware,989948,December 2019,53065.125,0.05360395192474756
595,2020,1,Delaware,989948,January 2020,84558.75,0.08541736535656419
644,2020,2,Delaware,989948,February 2020,75917.375,0.07668824524116419
693,2020,3,Delaware,989948,March 2020,69968.625,0.07067909122499363
742,2020,4,Delaware,989948,April 2020,102738.25,0.10378146124846961
791,2020,5,Delaware,989948,May 2020,92203.375,0.0931396144039889
840,2020,6,Delaware,989948,June 2020,141788.75,0.14322848270818264
889,2020,7,Delaware,989948,July 2020,224083.0,0.22635835417617894
938,2020,8,Delaware,989948,August 2020,207397.5,0.20950342846290917
987,2020,9,Delaware,989948,September 2020,106488.875,0.10757017035238214
1036,2020,10,Delaware,989948,October 2020,58251.5,0.058842989732794046
1085,2020,11,Delaware,989948,November 2020,75114.375,0.07587709152399924
1134,2020,12,Delaware,989948,December 2020,62832.875,0.0634708843292779
1183,2021,1,Delaware,989948,January 2021,28358.875,0.028646832964963818
1232,2021,2,Delaware,989948,February 2021,55525.0,0.05608880466448743
1281,2021,3,Delaware,989948,March 2021,55424.0,0.05598677910354887
1330,2021,4,Delaware,989948,April 2021,50076.625,0.05058510649044192
1379,2021,5,Delaware,989948,May 2021,65224.75,0.06588704659234626
1428,2021,6,Delaware,989948,June 2021,117254.75,0.11844536278673223
1477,2021,7,Delaware,989948,July 2021,142065.625,0.14350816911595357
1526,2021,8,Delaware,989948,August 2021,164198.125,0.16586540404142439
1575,2021,9,Delaware,989948,September 2021,74315.625,0.07507023096162627
26,2019,1,Montana,1084225,January 2019,514229.0,0.47428255205331
75,2019,2,Montana,1084225,February 2019,477918.2,0.44079245544052204
124,2019,3,Montana,1084225,March 2019,516100.6,0.4760087620189536
173,2019,4,Montana,1084225,April 2019,401549.6,0.3703563374760774
222,2019,5,Montana,1084225,May 2019,350481.1,0.323254951693606
271,2019,6,Montana,1084225,June 2019,409729.5,0.37790080472226706
320,2019,7,Montana,1084225,July 2019,520898.6,0.4804340427494293
369,2019,8,Montana,1084225,August 2019,555462.5,0.5123129424243122
418,2019,9,Montana,1084225,September 2019,499804.7,0.46097876363300977
467,2019,10,Montana,1084225,October 2019,414983.9,0.3827470312896309
516,2019,11,Montana,1084225,November 2019,473530.8,0.4367458783924001
565,2019,12,Montana,1084225,December 2019,424727.5,0.3917337268555881
614,2020,1,Montana,1084225,January 2020,393121.36363636365,0.36258282518514484
663,2020,2,Montana,1084225,February 2020,374217.8181818182,0.3451477490205614
712,2020,3,Montana,1084225,March 2020,373381.8181818182,0.34437669135264193
761,2020,4,Montana,1084225,April 2020,393438.0,0.3628748645345754
810,2020,5,Montana,1084225,May 2020,306731.0,0.28290345638589776
859,2020,6,Montana,1084225,June 2020,297660.2727272727,0.2745373633030715
908,2020,7,Montana,1084225,July 2020,368923.0,0.3402642440452858
957,2020,8,Montana,1084225,August 2020,407194.0909090909,0.3755623518265036
1006,2020,9,Montana,1084225,September 2020,298693.0909090909,0.2754899498804131
1055,2020,10,Montana,1084225,October 2020,292290.63636363635,0.26958485218809414
1104,2020,11,Montana,1084225,November 2020,342741.7272727273,0.31611679058565084
1153,2020,12,Montana,1084225,December 2020,397659.8181818182,0.366768722526983
1202,2021,1,Montana,1084225,January 2021,466028.9090909091,0.4298267509888714
1251,2021,2,Montana,1084225,February 2021,375888.7272727273,0.34668885819154444
1300,2021,3,Montana,1084225,March 2021,391604.2727272727,0.36118358525884636
1349,2021,4,Montana,1084225,April 2021,264017.8181818182,0.2435083291584479
1398,2021,5,Montana,1084225,May 2021,313754.36363636365,0.2893812295753775
1447,2021,6,Montana,1084225,June 2021,347312.2727272727,0.3203322859436673
1496,2021,7,Montana,1084225,July 2021,378741.8181818182,0.3493203146780587
1545,2021,8,Montana,1084225,August 2021,359430.7272727273,0.3315093520927181
1594,2021,9,Montana,1084225,September 2021,346048.45454545453,0.31916664395808486
38,2019,1,Rhode Island,1097379,January 2019,107432.5,0.09789917612784645
87,2019,2,Rhode Island,1097379,February 2019,89959.75,0.08197691955103933
136,2019,3,Rhode Island,1097379,March 2019,139237.875,0.12688221207076134
185,2019,4,Rhode Island,1097379,April 2019,145690.75,0.13276247312915593
234,2019,5,Rhode Island,1097379,May 2019,153328.0,0.1397220103537611
283,2019,6,Rhode Island,1097379,June 2019,152903.75,0.13933540736609684
332,2019,7,Rhode Island,1097379,July 2019,239062.125,0.21784827757775574
381,2019,8,Rhode Island,1097379,August 2019,247323.75,0.22537678413747667
430,2019,9,Rhode Island,1097379,September 2019,163876.625,0.14933457356118535
479,2019,10,Rhode Island,1097379,October 2019,202604.875,0.1846261637957351
528,2019,11,Rhode Island,1097379,November 2019,154297.375,0.1406053651473192
577,2019,12,Rhode Island,1097379,December 2019,110383.375,0.10058819696750165
626,2020,1,Rhode Island,1097379,January 2020,128382.75,0.11699034699953252
675,2020,2,Rhode Island,1097379,February 2020,143641.75,0.13089529688466792
724,2020,3,Rhode Island,1097379,March 2020,157639.125,0.14365057559876762
773,2020,4,Rhode Island,1097379,April 2020,169724.25,0.15466329317400826
822,2020,5,Rhode Island,1097379,May 2020,163075.0,0.14860408300140607
871,2020,6,Rhode Island,1097379,June 2020,232729.125,0.21207725407539238
920,2020,7,Rhode Island,1097379,July 2020,242483.375,0.22096593337397563
969,2020,8,Rhode Island,1097379,August 2020,234510.5,0.21370055377403796
1018,2020,9,Rhode Island,1097379,September 2020,227172.375,0.20701359785452428
1067,2020,10,Rhode Island,1097379,October 2020,169350.625,0.15432282283513718
1116,2020,11,Rhode Island,1097379,November 2020,208343.375,0.1898554419211594
1165,2020,12,Rhode Island,1097379,December 2020,146682.25,0.13366598959885326
1214,2021,1,Rhode Island,1097379,January 2021,144843.125,0.13199006450825101
1263,2021,2,Rhode Island,1097379,February 2021,126307.0,0.11509879449123776
1312,2021,3,Rhode Island,1097379,March 2021,150321.125,0.1369819588309964
1361,2021,4,Rhode Island,1097379,April 2021,82055.25,0.07477384750391615
1410,2021,5,Rhode Island,1097379,May 2021,127452.5,0.11614264533948618
1459,2021,6,Rhode Island,1097379,June 2021,185924.125,0.16942562688004784
1508,2021,7,Rhode Island,1097379,July 2021,219023.0,0.1995873804765719
1557,2021,8,Rhode Island,1097379,August 2021,230807.125,0.21032580813009907
1606,2021,9,Rhode Island,1097379,September 2021,193727.25,0.1765363197218099
19,2019,1,Maine,1362359,January 2019,223045.9,0.16372035564781381
68,2019,2,Maine,1362359,February 2019,208246.5,0.15285728651552197
117,2019,3,Maine,1362359,March 2019,209628.5,0.15387170342031725
166,2019,4,Maine,1362359,April 2019,180790.8,0.13270422847428615
215,2019,5,Maine,1362359,May 2019,180921.2,0.13279994480162718
264,2019,6,Maine,1362359,June 2019,157558.9,0.11565152797463811
313,2019,7,Maine,1362359,July 2019,169085.5,0.12411229345568972
362,2019,8,Maine,1362359,August 2019,123230.9,0.09045405799792859
411,2019,9,Maine,1362359,September 2019,123792.1,0.09086599053553432
460,2019,10,Maine,1362359,October 2019,154780.4,0.11361205086177725
509,2019,11,Maine,1362359,November 2019,165470.3,0.12145866104308775
558,2019,12,Maine,1362359,December 2019,201562.0,0.14795072370792134
607,2020,1,Maine,1362359,January 2020,184473.7,0.1354075541028466
656,2020,2,Maine,1362359,February 2020,165915.9,0.12178574076289729
705,2020,3,Maine,1362359,March 2020,194075.7,0.1424556229305198
754,2020,4,Maine,1362359,April 2020,205742.4,0.15101922474178978
803,2020,5,Maine,1362359,May 2020,196254.6,0.14405498110263154
852,2020,6,Maine,1362359,June 2020,147160.4,0.10801881148801454
901,2020,7,Maine,1362359,July 2020,177799.8,0.130508771916947
950,2020,8,Maine,1362359,August 2020,137300.6,0.10078151206840488
999,2020,9,Maine,1362359,September 2020,115334.4,0.0846578618411153
1048,2020,10,Maine,1362359,October 2020,137734.5,0.10110000374350667
1097,2020,11,Maine,1362359,November 2020,142711.5,0.10475322583841704
1146,2020,12,Maine,1362359,December 2020,195870.9,0.14377333727747238
1195,2021,1,Maine,1362359,January 2021,190770.7,0.14002968380581038
1244,2021,2,Maine,1362359,February 2021,183707.8,0.13484536748390108
1293,2021,3,Maine,1362359,March 2021,194556.4,0.14280846678445255
1342,2021,4,Maine,1362359,April 2021,157854.4,0.11586843115507733
1391,2021,5,Maine,1362359,May 2021,167252.2,0.12276661291186831
1440,2021,6,Maine,1362359,June 2021,177392.6,0.13020987860028085
1489,2021,7,Maine,1362359,July 2021,166888.3,0.12249950270082995
1538,2021,8,Maine,1362359,August 2021,185046.3,0.1358278544788855
1587,2021,9,Maine,1362359,September 2021,175868.0,0.12909079031297918
29,2019,1,New Hampshire,1377529,January 2019,315892.6,0.22931829384354158
78,2019,2,New Hampshire,1377529,February 2019,253195.1,0.18380382554559652
127,2019,3,New Hampshire,1377529,March 2019,299206.7,0.21720537280884833
176,2019,4,New Hampshire,1377529,April 2019,289921.4,0.21046482505994432
225,2019,5,New Hampshire,1377529,May 2019,253393.8,0.18394806933284163
274,2019,6,New Hampshire,1377529,June 2019,305358.6,0.22167126790071207
323,2019,7,New Hampshire,1377529,July 2019,355430.3,0.2580201941302143
372,2019,8,New Hampshire,1377529,August 2019,334687.0,0.24296185416060206
421,2019,9,New Hampshire,1377529,September 2019,276387.9,0.20064034949536455
470,2019,10,New Hampshire,1377529,October 2019,326592.4,0.2370856802288736
519,2019,11,New Hampshire,1377529,November 2019,280061.4,0.20330708101245057
568,2019,12,New Hampshire,1377529,December 2019,315192.2,0.2288098471974093
617,2020,1,New Hampshire,1377529,January 2020,278144.45454545453,0.2019154983637038
666,2020,2,New Hampshire,1377529,February 2020,244635.9090909091,0.1775903876367823
715,2020,3,New Hampshire,1377529,March 2020,254681.81818181818,0.18488309007056705
764,2020,4,New Hampshire,1377529,April 2020,107088.54545454546,0.07773959419696097
813,2020,5,New Hampshire,1377529,May 2020,236696.0,0.1718265096415393
862,2020,6,New Hampshire,1377529,June 2020,236480.54545454544,0.17167010310094774
911,2020,7,New Hampshire,1377529,July 2020,314804.9090909091,0.22852869819140587
960,2020,8,New Hampshire,1377529,August 2020,276277.9090909091,0.20056050296647773
1009,2020,9,New Hampshire,1377529,September 2020,262495.9090909091,0.19055563192565028
1058,2020,10,New Hampshire,1377529,October 2020,263370.0909090909,0.19119023331566223
1107,2020,11,New Hampshire,1377529,November 2020,246588.0,0.17900748368999855
1156,2020,12,New Hampshire,1377529,December 2020,251568.36363636365,0.1826229165675377
1205,2021,1,New Hampshire,1377529,January 2021,273357.63636363635,0.19844056739541335
1254,2021,2,New Hampshire,1377529,February 2021,280814.8181818182,0.20385401554654614
1303,2021,3,New Hampshire,1377529,March 2021,248655.63636363635,0.18050845852511008
1352,2021,4,New Hampshire,1377529,April 2021,243005.0909090909,0.17640651551371397
1401,2021,5,New Hampshire,1377529,May 2021,268052.7272727273,0.194589534792173
1450,2021,6,New Hampshire,1377529,June 2021,298925.8181818182,0.21700147015548724
1499,2021,7,New Hampshire,1377529,July 2021,312726.0,0.22701954006049962
1548,2021,8,New Hampshire,1377529,August 2021,321863.54545454547,0.23365282723960473
1597,2021,9,New Hampshire,1377529,September 2021,303095.2727272727,0.220028233690378
11,2019,1,Hawaii,1455271,January 2019,140208.72727272726,0.09634544168936732
60,2019,2,Hawaii,1455271,February 2019,120806.18181818182,0.08301284215667173
109,2019,3,Hawaii,1455271,March 2019,131053.90909090909,0.0900546421188281
158,2019,4,Hawaii,1455271,April 2019,136066.36363636365,0.09349898653677813
207,2019,5,Hawaii,1455271,May 2019,149370.63636363635,0.10264111382940797
256,2019,6,Hawaii,1455271,June 2019,149694.72727272726,0.10286381524315902
305,2019,7,Hawaii,1455271,July 2019,156126.81818181818,0.10728367306283035
354,2019,8,Hawaii,1455271,August 2019,164791.81818181818,0.11323789052473263
403,2019,9,Hawaii,1455271,September 2019,159697.18181818182,0.10973707427563789
452,2019,10,Hawaii,1455271,October 2019,161307.9090909091,0.11084389717853863
501,2019,11,Hawaii,1455271,November 2019,153080.63636363635,0.10519046718008973
550,2019,12,Hawaii,1455271,December 2019,150522.81818181818,0.10343284390454986
599,2020,1,Hawaii,1455271,January 2020,144202.54545454544,0.09908982275778562
648,2020,2,Hawaii,1455271,February 2020,127749.27272727272,0.0877838373246445
697,2020,3,Hawaii,1455271,March 2020,134777.63636363635,0.0926134282643139
746,2020,4,Hawaii,1455271,April 2020,123406.09090909091,0.08479938850502135
795,2020,5,Hawaii,1455271,May 2020,129497.81818181818,0.08898536298862424
844,2020,6,Hawaii,1455271,June 2020,133954.45454545456,0.09204777292027022
893,2020,7,Hawaii,1455271,July 2020,141887.9090909091,0.09749930362860876
