,date,Grocery and Pharmacy,Parks,Resedential,Retail and Recreation,Workplaces
52,2021-02-14,-6.797220106626047,-24.834505137912384,9.36846830669779,-18.46661024121879,-21.76376387431664
53,2021-02-21,-12.147358309317964,-21.15558775584133,12.391138550935173,-22.77380450366872,-29.661379195191184
54,2021-02-28,-4.65615111707738,-1.635657409205671,6.535052734201897,-8.97344228804903,-16.58506915514081
55,2021-03-07,-1.1930176948828313,7.451897971480217,5.828591623961831,-5.117250213492741,-16.59620942641174
56,2021-03-14,-0.6590974417936188,20.845076311938115,5.528025421484685,-3.450636806564664,-17.492343541944074
57,2021-03-21,1.443142527852478,15.530561844000824,5.323959802538787,3.193406403728316,-18.58467853774893
58,2021-03-28,0.5886306894565009,21.618729096989966,4.942499338566011,1.5800791329778083,-17.55873209725769
59,2021-04-04,6.14543698696282,31.773140138408305,4.754511046562802,1.6823742246726396,-21.5949919849649
60,2021-04-11,4.091810220383024,40.79791250277593,4.166051011433598,5.325832972739074,-18.937760026626727
61,2021-04-18,2.8318107510337533,34.47257569109259,4.201895235588313,2.3152416996387406,-16.558619156150982
62,2021-04-25,3.0855301135270348,34.22535519125683,4.393518925090015,0.9893653516295026,-16.401111728738186
63,2021-05-02,5.716383307573416,49.60174953959484,3.5228088608703265,3.6923475109999138,-16.104305740987986
64,2021-05-09,10.222577209797658,39.96630968317715,3.183616313670576,5.694142042509072,-16.156821339260905
65,2021-05-16,8.836110034870206,55.86641668619639,3.23311432325887,4.004990964632992,-16.562371392024914
66,2021-05-23,9.295126441236317,58.98935415188077,3.0968222008229014,5.361345987920621,-15.8814011676397
67,2021-05-30,11.861851059692786,55.71206318812829,3.1007792662639,8.0932005197055,-19.443892202341505
68,2021-06-06,12.16455944330099,70.42359050445104,4.630781428948992,8.03175704989154,-25.812686980609417
69,2021-06-13,11.692449892975286,65.99586575875486,3.3239919177721164,8.482433367947387,-19.69866799314652
70,2021-06-20,13.15566819378107,72.43225,2.7025582617837745,9.75745492371706,-21.25822812723965
71,2021-06-27,9.29101866251944,68.47415285678952,3.26835487558252,7.997837557304732,-20.821166067974577
72,2021-07-04,14.955675146771036,69.70809464508095,2.566150074424306,8.960354720918101,-24.06349991753257
73,2021-07-11,11.246465828214877,65.38869946419874,5.281989890928439,8.452595155709343,-27.971831762306376
74,2021-07-18,12.182720373613543,67.06353861192571,3.2844941445804348,10.102955195424212,-20.63598210834392
75,2021-07-25,12.40999415546464,70.49617567234148,3.2709819462791723,9.3944064421162,-20.60934651715185
76,2021-08-01,12.924592722661204,62.64513788098694,3.5258430923659416,9.402407343262905,-20.448430245412336
77,2021-08-08,14.467276977015972,64.04413191076624,3.378223747909515,9.908673026886383,-20.4362037497926
78,2021-08-15,13.468801713228851,56.32746730083234,3.569065634348056,8.576873217526575,-20.434924498036395
79,2021-08-22,11.918107635515836,47.29141531322506,3.713554987212276,7.013712807244502,-19.7364431164232
80,2021-08-29,10.301481266337497,46.90310616597126,3.706183745583039,4.466455044612217,-18.943333517974853
81,2021-09-05,11.79693412244106,51.30616069337081,3.288147559791722,6.665402189843952,-20.23230369674532
82,2021-09-12,9.09301195451453,58.30855372885394,4.660120311394197,3.5958304735758406,-24.081337325349303
83,2021-09-19,8.781437125748504,48.962224797219,2.7531645569620253,4.84027122135439,-17.049456642271014
84,2021-09-26,7.486306653809065,49.84652777777778,2.853491436100132,3.318614421675384,-14.929035843289803
85,2021-10-03,9.3603707995365,47.70153002968714,2.515470242790779,4.807233055579418,-14.03577976554253
86,2021-10-10,8.700434572670208,43.05905064728594,2.782807418475872,4.086076817558299,-14.564263497000669
